time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
1,8 added to ready queue,enqueue,8,,['8'],[],"[None, None]","[None, None]"
1,5 added to ready queue,enqueue,5,,"['8', '5']",[],"[None, None]","[None, None]"
1,8 dispatched to CPU0,dispatch_cpu,8,CPU0,['5'],[],"['8', None]","[None, None]"
1,5 dispatched to CPU1,dispatch_cpu,5,CPU1,[],[],"['8', '5']","[None, None]"
6,5 finished CPU → wait queue,cpu_to_io,5,CPU1,[],['5'],"['8', None]","[None, None]"
6,5 dispatched to IO0,dispatch_io,5,IO0,[],[],"['8', None]","['5', None]"
7,8 finished CPU → wait queue,cpu_to_io,8,CPU0,[],['8'],"[None, None]","['5', None]"
7,8 dispatched to IO1,dispatch_io,8,IO1,[],[],"[None, None]","['5', '8']"
11,5 finished I/O → ready queue,io_to_ready,5,IO0,['5'],[],"[None, None]","[None, '8']"
11,5 dispatched to CPU0,dispatch_cpu,5,CPU0,[],[],"['5', None]","[None, '8']"
15,5 finished CPU → ready queue,cpu_to_ready,5,CPU0,['5'],[],"[None, None]","[None, '8']"
15,5 dispatched to CPU0,dispatch_cpu,5,CPU0,[],[],"['5', None]","[None, '8']"
18,5 finished all bursts,finished,5,CPU0,[],[],"[None, None]","[None, '8']"
25,8 finished I/O → ready queue,io_to_ready,8,IO1,['8'],[],"[None, None]","[None, None]"
25,8 dispatched to CPU0,dispatch_cpu,8,CPU0,[],[],"['8', None]","[None, None]"
31,7 added to ready queue,enqueue,7,,['7'],[],"['8', None]","[None, None]"
31,7 dispatched to CPU1,dispatch_cpu,7,CPU1,[],[],"['8', '7']","[None, None]"
33,8 finished CPU → ready queue,cpu_to_ready,8,CPU0,['8'],[],"[None, '7']","[None, None]"
33,8 dispatched to CPU0,dispatch_cpu,8,CPU0,[],[],"['8', '7']","[None, None]"
34,4 added to ready queue,enqueue,4,,['4'],[],"['8', '7']","[None, None]"
38,8 finished CPU → wait queue,cpu_to_io,8,CPU0,['4'],['8'],"[None, '7']","[None, None]"
38,7 finished CPU → wait queue,cpu_to_io,7,CPU1,['4'],"['8', '7']","[None, None]","[None, None]"
38,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['8', '7']","['4', None]","[None, None]"
38,8 dispatched to IO0,dispatch_io,8,IO0,[],['7'],"['4', None]","['8', None]"
38,7 dispatched to IO1,dispatch_io,7,IO1,[],[],"['4', None]","['8', '7']"
46,4 finished CPU → wait queue,cpu_to_io,4,CPU0,[],['4'],"[None, None]","['8', '7']"
49,7 finished I/O → ready queue,io_to_ready,7,IO1,['7'],['4'],"[None, None]","['8', None]"
49,7 dispatched to CPU0,dispatch_cpu,7,CPU0,[],['4'],"['7', None]","['8', None]"
49,4 dispatched to IO1,dispatch_io,4,IO1,[],[],"['7', None]","['8', '4']"
51,3 added to ready queue,enqueue,3,,['3'],[],"['7', None]","['8', '4']"
51,3 dispatched to CPU1,dispatch_cpu,3,CPU1,[],[],"['7', '3']","['8', '4']"
52,1 added to ready queue,enqueue,1,,['1'],[],"['7', '3']","['8', '4']"
53,2 added to ready queue,enqueue,2,,"['1', '2']",[],"['7', '3']","['8', '4']"
56,6 added to ready queue,enqueue,6,,"['1', '2', '6']",[],"['7', '3']","['8', '4']"
56,7 finished CPU → ready queue,cpu_to_ready,7,CPU0,"['1', '2', '6', '7']",[],"[None, '3']","['8', '4']"
56,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['2', '6', '7']",[],"['1', '3']","['8', '4']"
